,message,label,player,special_token_message,match
162,hahah,,0,[Team0][Player0]: hahah,85
163,sad,,9,[Team1][Player4]: sad,85
164,SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85
165,this noob kunka,,4,[Team0][Player4]: this noob kunka,85
166,dr?,,7,[Team1][Player2]: dr?,85
167,HASHAHAHA,,7,[Team1][Player2]: HASHAHAHA,85
168,Bye,,4,[Team0][Player4]: Bye,21
169,wow,,4,[Team0][Player4]: wow,21
170,what bye?,,5,[Team1][Player0]: what bye?,21
171,roart,,0,[Team0][Player0]: roart,21
172,FACELESS VOID,,5,[Team1][Player0]: FACELESS VOID,21
173,why hate me :(,,5,[Team1][Player0]: why hate me :(,21
174,WHY?,,3,[Team0][Player3]: WHY?,21
175,why hate me,,5,[Team1][Player0]: why hate me,21
176,u ENEMY NOOB,,0,[Team0][Player0]: u ENEMY NOOB,21
177,HAHA,,3,[Team0][Player3]: HAHA,21
178,:(,,5,[Team1][Player0]: :(,21
179,snipshit,,5,[Team1][Player0]: snipshit,21
180,WKWKW,,0,[Team0][Player0]: WKWKW,21
181,sad,,2,[Team0][Player2]: sad,21
182,U NOOB SHIT,x,0,[Team0][Player0]: U NOOB SHIT,21
183,haha silence cant cast,,1,[Team0][Player1]: haha silence cant cast,21
184,gg,,4,[Team0][Player4]: gg,21
185,EZ,,3,[Team0][Player3]: EZ,21
186,ok,,5,[Team1][Player0]: ok,21
187,да это просто пиздец,,2,[Team0][Player2]: да это просто пиздец,38
188,лакеры ебучие,,2,[Team0][Player2]: лакеры ебучие,38
189,lol,,6,[Team1][Player1]: lol,38
190,v 4em lak?,,6,[Team1][Player1]: v 4em lak?,38
191,ты видел как тракса съебалась из под моей ульты?,,2,[Team0][Player2]: ты видел как тракса съебалась из под моей ульты?,38
192,net,,6,[Team1][Player1]: net,38
193,вот и иди на хуй,x,2,[Team0][Player2]: вот и иди на хуй,38
194,tak ti na hue,,6,[Team1][Player1]: tak ti na hue,38
195,za4em,,6,[Team1][Player1]: za4em,38
196,slot zan'at,,6,[Team1][Player1]: slot zan'at,38
197,pangol'er dolbaeb?,,6,[Team1][Player1]: pangol'er dolbaeb?,38
198,u teb'a 2 raza basher proknul?,,6,[Team1][Player1]: u teb'a 2 raza basher proknul?,38
199,изи ганк,,1,[Team0][Player1]: изи ганк,38
200,мид,,1,[Team0][Player1]: мид,38
201,gl hf,,1,[Team0][Player1]: gl hf,91
202,w8 pls,,1,[Team0][Player1]: w8 pls,91
203,lol,,3,[Team0][Player3]: lol,91
204,ME FOCA AI,,6,[Team1][Player1]: ME FOCA AI,91
205,SEU FULHO DA PUTA,x,6,[Team1][Player1]: SEU FULHO DA PUTA,91
206,26 assistencias,,4,[Team0][Player4]: 26 assistencias,91
207,Y?,,8,[Team1][Player3]: Y?,91
208,Recomend,,4,[Team0][Player4]: Recomend,91
209,SSSSsss,,8,[Team1][Player3]: SSSSsss,91
210,izi legion start pro,,9,[Team1][Player4]: izi legion start pro,91
211,izi,,8,[Team1][Player3]: izi,91
212,elijan rapido mrd se acaba mi hora :v,,9,[Team1][Player4]: elijan rapido mrd se acaba mi hora :v,9
213,gg,,9,[Team1][Player4]: gg,9
214,verga de lag,,5,[Team1][Player0]: verga de lag,9
215,ez pudge and sniper,,7,[Team1][Player2]: ez pudge and sniper,9
216,ez peru,x,3,[Team0][Player3]: ez peru,9
217,no puedes olo chato ?,,7,[Team1][Player2]: no puedes olo chato ?,9
218,jajajaja que paso puydge ?,,7,[Team1][Player2]: jajajaja que paso puydge ?,9
219,shhh peru shhhhh burrito,x,3,[Team0][Player3]: shhh peru shhhhh burrito,9
220,taco muerto,,2,[Team0][Player2]: taco muerto,9
221,que paso pudge ?,,7,[Team1][Player2]: que paso pudge ?,9
222,haha,,5,[Team1][Player0]: haha,9
223,te mate ?,,7,[Team1][Player2]: te mate ?,9
224,M E X I C O,,3,[Team0][Player3]: M E X I C O,9
225,haha se fue,,5,[Team1][Player0]: haha se fue,9
226,ez,,3,[Team0][Player3]: ez,9
227,ya se fue,,5,[Team1][Player0]: ya se fue,9
228,le defraudaron,,5,[Team1][Player0]: le defraudaron,9
229,i thought this was us east,,4,[Team0][Player4]: i thought this was us east,9
230,:/,,4,[Team0][Player4]: :/,9
231,lol,,2,[Team0][Player2]: lol,9
232,peru east,,3,[Team0][Player3]: peru east,9
233,caia iama,,9,[Team1][Player4]: caia iama,9
234,te cagaste chato,x,9,[Team1][Player4]: te cagaste chato,9
235,me tienes miedo chato,,7,[Team1][Player2]: me tienes miedo chato,9
236,'?,,7,[Team1][Player2]: '?,9
237,por que te corres ?,,7,[Team1][Player2]: por que te corres ?,9
238,xd,,9,[Team1][Player4]: xd,9
239,:'c,,9,[Team1][Player4]: :'c,9
240,hi,,5,[Team1][Player0]: hi,9
241,good neglish!,,3,[Team0][Player3]: good neglish!,9
242,u want me bra?,,9,[Team1][Player4]: u want me bra?,9
243,lol,,5,[Team1][Player0]: lol,9
244,yes,,4,[Team0][Player4]: yes,9
245,also good english,,3,[Team0][Player3]: also good english,9
246,haha,,5,[Team1][Player0]: haha,9
247,we cant dmg each other,,4,[Team0][Player4]: we cant dmg each other,9
248,ez,,3,[Team0][Player3]: ez,9
249,?,,4,[Team0][Player4]: ?,9
250,wait pe causa,,9,[Team1][Player4]: wait pe causa,9
251,oh now you want to wait,,3,[Team0][Player3]: oh now you want to wait,9
252,fucking peruvians,x,3,[Team0][Player3]: fucking peruvians,9
253,xd,,9,[Team1][Player4]: xd,9
254,ez pudge,,7,[Team1][Player2]: ez pudge,9
255,ez burrito,,3,[Team0][Player3]: ez burrito,9
256,muchaco churro el chaop,,3,[Team0][Player3]: muchaco churro el chaop,9
257,chapo,,3,[Team0][Player3]: chapo,9
258,ez pa,,3,[Team0][Player3]: ez pa,9
259,ez hook,,7,[Team1][Player2]: ez hook,9
260,critcritcritcrit,,4,[Team0][Player4]: critcritcritcrit,9
261,jajaja ez mid,,7,[Team1][Player2]: jajaja ez mid,9
262,jajaja sniper,,7,[Team1][Player2]: jajaja sniper,9
263,por que me jals y te vas ?,,7,[Team1][Player2]: por que me jals y te vas ?,9
264,HABIA SLARK XD?,,6,[Team1][Player1]: HABIA SLARK XD?,9
265,a la mrd,,9,[Team1][Player4]: a la mrd,9
266,gg,,9,[Team1][Player4]: gg,9
267,LMAO,,6,[Team1][Player1]: LMAO,9
268,tmr tengo hambre,,9,[Team1][Player4]: tmr tengo hambre,9
269,haha,,5,[Team1][Player0]: haha,9
270,zzzz,,4,[Team0][Player4]: zzzz,9
271,gg,,4,[Team0][Player4]: gg,9
272,gracias,,5,[Team1][Player0]: gracias,9
273,ez mid and pudge,,7,[Team1][Player2]: ez mid and pudge,9
274,haha,,5,[Team1][Player0]: haha,9
275,54 minutes EZ,,4,[Team0][Player4]: 54 minutes EZ,9
276,right,,4,[Team0][Player4]: right,9
277,so much bash,,2,[Team0][Player2]: so much bash,9
278,kirkincho is op,,9,[Team1][Player4]: kirkincho is op,9
279,ez,,4,[Team0][Player4]: ez,9
280,ez wind,,5,[Team1][Player0]: ez wind,9
281,mi hora csm,,9,[Team1][Player4]: mi hora csm,9
282,reporten pa,,5,[Team1][Player0]: reporten pa,9
283,paguenme mrd,,9,[Team1][Player4]: paguenme mrd,9
284,rip,,4,[Team0][Player4]: rip,9
285,:d,,1,[Team0][Player1]: :d,25
286,fuck u,x,7,[Team1][Player2]: fuck u,25
287,u motherfucker,x,7,[Team1][Player2]: u motherfucker,25
288,jungle suck,,7,[Team1][Player2]: jungle suck,25
289,player,,7,[Team1][Player2]: player,25
290,How are you bs?,,1,[Team0][Player1]: How are you bs?,25
291,idiot,x,7,[Team1][Player2]: idiot,25
292,fuck u,x,7,[Team1][Player2]: fuck u,25
293,ez,,7,[Team1][Player2]: ez,25
294,game,,7,[Team1][Player2]: game,25
295,:D,,1,[Team0][Player1]: :D,25
296,sniper,,7,[Team1][Player2]: sniper,25
297,noob,,7,[Team1][Player2]: noob,25
298,Wtf,,7,[Team1][Player2]: Wtf,25
299,ahahaha,,1,[Team0][Player1]: ahahaha,25
300,ez blood,,9,[Team1][Player4]: ez blood,25
301,:DDDD,,1,[Team0][Player1]: :DDDD,25
302,tiny,,7,[Team1][Player2]: tiny,25
303,fuck u,x,7,[Team1][Player2]: fuck u,25
304,so bad,,1,[Team0][Player1]: so bad,25
305,noob,,7,[Team1][Player2]: noob,25
306,bs,,1,[Team0][Player1]: bs,25
307,"NOP BRİ,AN DOTA",,9,"[Team1][Player4]: NOP BRİ,AN DOTA",25
308,report storm,,7,[Team1][Player2]: report storm,25
309,flamer,,7,[Team1][Player2]: flamer,25
310,animal planet,,2,[Team0][Player2]: animal planet,25
311,FRST DOTA BS,,9,[Team1][Player4]: FRST DOTA BS,25
312,this retard,x,7,[Team1][Player2]: this retard,25
313,blame me,,7,[Team1][Player2]: blame me,25
314,Ez,,7,[Team1][Player2]: Ez,25
315,fu,x,7,[Team1][Player2]: fu,25
316,:D,,1,[Team0][Player1]: :D,25
317,bastard,x,7,[Team1][Player2]: bastard,25
318,HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25
319,HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25
320,HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25
321,HbIAAAAAAAAA!!!,,1,[Team0][Player1]: HbIAAAAAAAAA!!!,25
322,lol,,1,[Team0][Player1]: lol,25
323,bs,,1,[Team0][Player1]: bs,25
324,team noob,x,7,[Team1][Player2]: team noob,25
325,LOL THİS BS SPEAKK EZ NOOBS FEED,x,9,[Team1][Player4]: LOL THİS BS SPEAKK EZ NOOBS FEED,25
326,EEZ MİD AND ZERO BS,x,9,[Team1][Player4]: EEZ MİD AND ZERO BS,25
327,Axe leave me alone,,7,[Team1][Player2]: Axe leave me alone,25
328,peice of shit,x,7,[Team1][Player2]: peice of shit,25
329,:D,,1,[Team0][Player1]: :D,25
330,EZ MİD,x,9,[Team1][Player4]: EZ MİD,25
331,Strom reported !,,7,[Team1][Player2]: Strom reported !,25
332,come on bs,,1,[Team0][Player1]: come on bs,25
333,show something,,1,[Team0][Player1]: show something,25
334,LOOL WHY FOR YOPUR FEEED,,9,[Team1][Player4]: LOOL WHY FOR YOPUR FEEED,25
335,i have 3 ez kill,,7,[Team1][Player2]: i have 3 ez kill,25
336,OMG EZ KİLL BS,x,9,[Team1][Player4]: OMG EZ KİLL BS,25
337,Ez,x,7,[Team1][Player2]: Ez,25
338,hahahaha,,7,[Team1][Player2]: hahahaha,25
339,:?D,,1,[Team0][Player1]: :?D,25
340,wtf,,7,[Team1][Player2]: wtf,25
341,where are u,,7,[Team1][Player2]: where are u,25
342,lel,,1,[Team0][Player1]: lel,25
343,noob,x,7,[Team1][Player2]: noob,25
344,TY FOR EZBS,x,9,[Team1][Player4]: TY FOR EZBS,25
345,ahahhaha,,1,[Team0][Player1]: ahahhaha,25
346,просто хауса пикнуть,,0,[Team0][Player0]: просто хауса пикнуть,52
347,и за  20 мин выйграть игру,,0,[Team0][Player0]: и за  20 мин выйграть игру,52
348,он пикнул,,0,[Team0][Player0]: он пикнул,52
349,спекрту,,0,[Team0][Player0]: спекрту,52
350,просто хауса против эмбера,,7,[Team1][Player2]: просто хауса против эмбера,52
351,ага,,7,[Team1][Player2]: ага,52
352,спс за совет,,7,[Team1][Player2]: спс за совет,52
353,он через дискорд,,0,[Team0][Player0]: он через дискорд,52
354,),,0,[Team0][Player0]: ),52
355,лан сори,,0,[Team0][Player0]: лан сори,52
356,с новым годом всех,,0,[Team0][Player0]: с новым годом всех,52
357,да ну,,0,[Team0][Player0]: да ну,52
358,SRTSLY,,6,[Team1][Player1]: SRTSLY,52
359,братан,,3,[Team0][Player3]: братан,52
360,сумия пизже играет,,3,[Team0][Player3]: сумия пизже играет,52
361,ya znay,,6,[Team1][Player1]: ya znay,52
362,2 mani ne hvatilo),,6,[Team1][Player1]: 2 mani ne hvatilo),52
363,ofc,,6,[Team1][Player1]: ofc,52
364,GG,,5,[Team1][Player0]: GG,52
365,a che ne 5?,,6,[Team1][Player1]: a che ne 5?,52
366,в 5,,0,[Team0][Player0]: в 5,52
367,и так,,0,[Team0][Player0]: и так,52
368,все,,0,[Team0][Player0]: все,52
369,a vot,,6,[Team1][Player1]: a vot,52
370,5,,6,[Team1][Player1]: 5,52
371,togda vse nnorm,,6,[Team1][Player1]: togda vse nnorm,52
372,end these retards,x,5,[Team1][Player0]: end these retards,52
373,блять спетра,,0,[Team0][Player0]: блять спетра,52
374,1 словом,,0,[Team0][Player0]: 1 словом,52
375,божество блять,,0,[Team0][Player0]: божество блять,52
376,изи,,0,[Team0][Player0]: изи,52
377,;bd,,9,[Team1][Player4]: ;bd,52
378,жив,,9,[Team1][Player4]: жив,52
379,цел,,9,[Team1][Player4]: цел,52
380,орел,,9,[Team1][Player4]: орел,52
381,fuck you still,x,6,[Team1][Player1]: fuck you still,19
382,?,,3,[Team0][Player3]: ?,19
383,.???,,3,[Team0][Player3]: .???,19
384,??,,6,[Team1][Player1]: ??,19
385,??????,,3,[Team0][Player3]: ??????,19
386,????????,,6,[Team1][Player1]: ????????,19
387,???,,1,[Team0][Player1]: ???,19
388,?,,3,[Team0][Player3]: ?,19
389,my back up did not show,,9,[Team1][Player4]: my back up did not show,19
390,we would have teared you a new asshole,,9,[Team1][Player4]: we would have teared you a new asshole,19
391,nice ward,,9,[Team1][Player4]: nice ward,19
392,nice gank,,3,[Team0][Player3]: nice gank,19
393,maphack,,0,[Team0][Player0]: maphack,19
394,thanks i guess,,1,[Team0][Player1]: thanks i guess,19
395,?,,9,[Team1][Player4]: ?,19
396,????,,3,[Team0][Player3]: ????,19
397,?,,3,[Team0][Player3]: ?,19
398,why save him let me kill him fucker,x,6,[Team1][Player1]: why save him let me kill him fucker,19
399,?,,3,[Team0][Player3]: ?,19
400,sorry for flaming,,6,[Team1][Player1]: sorry for flaming,19
401,g,,0,[Team0][Player0]: g,19
402,thx,,0,[Team0][Player0]: thx,19
403,?,,2,[Team0][Player2]: ?,19
404,?,,6,[Team1][Player1]: ?,19
405,?,,3,[Team0][Player3]: ?,19
406,?????????????????????,,3,[Team0][Player3]: ?????????????????????,19
407,gg wp,,5,[Team1][Player0]: gg wp,19
408,gg,,8,[Team1][Player3]: gg,19
409,ez,,2,[Team0][Player2]: ez,19
410,gg wp,,1,[Team0][Player1]: gg wp,19
411,zizi,,4,[Team0][Player4]: zizi,19
412,?,,3,[Team0][Player3]: ?,19
413,nice quadrilane mid,,0,[Team0][Player0]: nice quadrilane mid,19
414,GG wp gl next,,6,[Team1][Player1]: GG wp gl next,19
415,lol,,8,[Team1][Player3]: lol,19
416,?,,6,[Team1][Player1]: ?,19
417,assholes,x,0,[Team0][Player0]: assholes,19
418,???????????,,3,[Team0][Player3]: ???????????,19
419,sf wanna be,,7,[Team1][Player2]: sf wanna be,24
420,^^,,7,[Team1][Player2]: ^^,24
421,huh ?,,4,[Team0][Player4]: huh ?,24
422,what ur proble m,,4,[Team0][Player4]: what ur proble m,24
423,nvm,,7,[Team1][Player2]: nvm,24
424,..,,7,[Team1][Player2]: ..,24
425,..,,7,[Team1][Player2]: ..,24
426,why always ez,,7,[Team1][Player2]: why always ez,24
427,hahahahaha,,7,[Team1][Player2]: hahahahaha,24
428,QT MO GAGO,,7,[Team1][Player2]: QT MO GAGO,24
429,?,,1,[Team0][Player1]: ?,24
430,??,,7,[Team1][Player2]: ??,24
431,fucking pick 2 offlane,,3,[Team0][Player3]: fucking pick 2 offlane,24
432,NOOB,,7,[Team1][Player2]: NOOB,24
433,SHIT,,7,[Team1][Player2]: SHIT,24
434,will he coming ?,,4,[Team0][Player4]: will he coming ?,63
435,swabe english ah,,8,[Team1][Player3]: swabe english ah,63
436,will he coming,,8,[Team1][Player3]: will he coming,63
437,afk,,5,[Team1][Player0]: afk,63
438,wait,,5,[Team1][Player0]: wait,63
439,he leave dude,,6,[Team1][Player1]: he leave dude,63
440,oo,,5,[Team1][Player0]: oo,63
441,ung slark,,5,[Team1][Player0]: ung slark,63
442,tang ina,,5,[Team1][Player0]: tang ina,63
443,tanga e,,5,[Team1][Player0]: tanga e,63
444,slark,,5,[Team1][Player0]: slark,63
445,tanga,,5,[Team1][Player0]: tanga,63
446,HAHAHA,,5,[Team1][Player0]: HAHAHA,63
447,meron tanga,x,5,[Team1][Player0]: meron tanga,63
448,ung tatay nya,x,5,[Team1][Player0]: ung tatay nya,63
449,slark,,5,[Team1][Player0]: slark,63
450,whre are u,,5,[Team1][Player0]: whre are u,63
451,JHAHA,,5,[Team1][Player0]: JHAHA,63
452,gg,,3,[Team0][Player3]: gg,63
453,END,,3,[Team0][Player3]: END,63
454,slark,,5,[Team1][Player0]: slark,63
455,?,,5,[Team1][Player0]: ?,63
456,slark/,,5,[Team1][Player0]: slark/,63
457,lol,,0,[Team0][Player0]: lol,63
458,bobo,,9,[Team1][Player4]: bobo,63
459,HERALD ANDERSON ANG GALAWAN,,9,[Team1][Player4]: HERALD ANDERSON ANG GALAWAN,63
460,teka yung tropa ko,,8,[Team1][Player3]: teka yung tropa ko,63
461,}diba,,5,[Team1][Player0]: }diba,63
462,seriously?,,3,[Team0][Player3]: seriously?,63
463,slark,,5,[Team1][Player0]: slark,63
464,Slark,,5,[Team1][Player0]: Slark,63
465,taga san ka,,5,[Team1][Player0]: taga san ka,63
466,HAHHA,,5,[Team1][Player0]: HAHHA,63
467,yayaya,,5,[Team1][Player0]: yayaya,63
468,DI NYA MAHULI SLARK,,9,[Team1][Player4]: DI NYA MAHULI SLARK,63
469,WAWA,,5,[Team1][Player0]: WAWA,63
470,sarap,,5,[Team1][Player0]: sarap,63
471,ez,,1,[Team0][Player1]: ez,63
472,LOL,,3,[Team0][Player3]: LOL,63
473,GG,,3,[Team0][Player3]: GG,63
474,HAHAHA,,5,[Team1][Player0]: HAHAHA,63
475,iyakin,,5,[Team1][Player0]: iyakin,63
476,haha,,6,[Team1][Player1]: haha,63
477,LOL,,3,[Team0][Player3]: LOL,63
478,esasy,,6,[Team1][Player1]: esasy,63
